Child DCN,Child MOSIS ID,RefProgramType.Description,EnrollmentDate,ServicePlanDate,ServicePlanEndDate,VisitingIndicator,NumberOfDaysInAttendance,RefStudentGradeLevel.Description,RefFundingSource.Descriptions
0000000001,000001,Early Intervention,2020-08-04,2020-08-23,2021-07-12,No,31,Early Intervention,Private
0000000002,000002,Home Visiting,2019-07-14,2019-08-01,2021-05-10,Yes,5,,Private
0000000002,000002,Home Visiting,2021-07-17,2021-08-10,2023-08-02,Yes,15,,State
0000000002,000002,Childcare Subsidy,2023-11-05,2023-11-30,2024-12-01,No,207,,Private
0000000003,000003,Childcare Subsidy,2020-05-14,2020-06-08,2022-06-08,No,46,,State
0000000003,000003,Childcare Subsidy,2022-07-12,2022-07-31,2023-12-13,No,92,,Local
0000000004,000004,Early Intervention,2023-04-06,2023-04-13,2024-10-06,No,19,Early Intervention,Local
0000000005,000005,First Steps,2019-01-16,2019-01-26,2019-04-07,No,24,Early Intervention,Local
0000000006,000006,Early Head Start,2021-02-19,2021-02-20,2022-11-09,No,157,,Local
0000000007,000007,Childcare Subsidy,2021-03-26,2021-04-24,2022-06-08,No,90,,Local
0000000007,000007,Childcare Subsidy,2022-06-26,2022-07-01,2023-12-05,No,129,,Private
0000000008,000008,First Steps,2022-07-13,2022-08-05,2024-10-31,No,30,Early Intervention,Federal
0000000009,000009,Early Intervention,2019-09-01,2019-09-22,2020-06-29,No,28,Early Intervention,Private
0000000009,000009,Child Care,2020-06-30,2020-07-20,2021-02-06,No,59,,Private
0000000010,000010,Childcare Subsidy,2020-11-11,2020-11-29,2021-09-19,No,106,,Local
0000000011,000011,Early Head Start,2019-12-30,2020-01-27,2021-08-19,No,181,,Federal
0000000011,000011,State Pre-K,2020-02-26,2020-03-12,2023-08-18,No,156,Pre-K,Local
0000000012,000012,Child Care,2021-07-04,2021-07-05,2023-06-12,No,199,,Local
0000000013,000013,Home Visiting,2020-09-19,2020-10-07,2022-05-16,Yes,12,,Federal
0000000014,000014,Home Visiting,2022-08-22,2022-09-18,2023-08-01,Yes,12,,Federal
0000000014,000014,Child Care,2022-10-18,2022-11-02,2024-11-27,No,108,,Local
0000000015,000015,Child Care,2019-11-12,2019-11-13,2021-01-09,No,102,,Private
0000000016,000016,Early Intervention,2022-07-17,2022-07-21,2022-10-24,No,7,Early Intervention,State
0000000017,000017,Home Visiting,2022-04-07,2022-04-14,2023-10-20,Yes,11,,State
0000000018,000018,Early Head Start,2018-12-26,2019-01-11,2020-08-18,No,161,,Private
0000000019,000019,Early Intervention,2022-04-26,2022-05-21,2023-02-05,No,5,Early Intervention,Federal
0000000020,000020,Childcare Subsidy,2020-12-19,2021-01-11,2022-01-21,No,113,,State
0000000021,000021,Early Head Start,2022-06-10,2022-07-09,2024-04-16,No,128,,Federal
0000000021,000021,Head Start,2024-04-25,2024-04-29,2026-01-01,No,97,Pre-K,Local
0000000021,000021,Childcare Subsidy,2026-01-08,2026-01-17,2026-09-25,No,61,,Federal
0000000021,000021,Early Intervention,2022-03-28,2022-04-03,2024-01-04,No,42,Early Intervention,Federal
0000000021,000021,Early Head Start,2024-01-26,2024-02-20,2025-03-19,No,88,,Private
0000000022,000022,Childcare Subsidy,2020-03-20,2020-03-23,2021-10-26,No,147,,Local
0000000022,000022,Child Care,2021-11-20,2021-12-11,2023-04-07,No,91,,Federal
0000000023,000023,Child Care,2019-11-30,2019-12-27,2020-05-17,No,36,,Private
0000000023,000023,Early Head Start,2020-06-08,2020-06-27,2021-05-05,No,76,,Federal
0000000024,000024,First Steps,2020-11-20,2020-11-21,2022-07-06,No,14,Early Intervention,Private
0000000024,000024,Home Visiting,2022-07-14,2022-07-18,2023-11-20,Yes,16,,Federal
0000000024,000024,Childcare Subsidy,2023-12-14,2023-12-22,2024-09-10,No,44,,Private
0000000024,000024,Child Care,2024-09-26,2024-10-06,2025-10-25,No,168,,Local
0000000024,000024,Childcare Subsidy,2021-04-27,2021-05-26,2021-12-10,No,137,,Local
0000000025,000025,First Steps,2023-06-05,2023-06-26,2024-06-15,No,18,Early Intervention,State
0000000026,000026,Childcare Subsidy,2021-01-23,2021-02-19,2022-03-07,No,103,,State
0000000026,000026,Early Head Start,2022-03-08,2022-03-12,2022-12-12,No,162,,Local
0000000027,000027,Childcare Subsidy,2019-06-16,2019-07-08,2020-03-14,No,128,,Private
0000000027,000027,Child Care,2020-03-31,2020-04-12,2021-03-25,No,114,,Federal
0000000028,000028,Childcare Subsidy,2018-12-23,2018-12-29,2020-12-23,No,185,,Federal
0000000029,000029,Home Visiting,2019-07-31,2019-08-10,2020-08-22,Yes,7,,Federal
0000000029,000029,Early Intervention,2020-09-14,2020-09-17,2023-02-21,No,49,Early Intervention,State
0000000030,000030,Home Visiting,2020-10-30,2020-11-04,2022-06-21,Yes,11,,Federal
0000000030,000030,Early Head Start,2022-06-25,2022-07-13,2023-03-29,No,139,,Local
0000000030,000030,State Pre-K,2023-04-11,2023-04-23,2023-11-16,No,132,Pre-K,Local
0000000031,000031,Home Visiting,2019-02-16,2019-02-23,2019-06-25,Yes,15,,State
0000000031,000031,Early Head Start,2019-07-25,2019-08-16,2020-01-20,No,78,,Federal
0000000031,000031,First Steps,2020-01-25,2020-02-22,2020-05-09,No,26,Early Intervention,Private
0000000032,000032,Early Head Start,2019-10-14,2019-11-13,2020-09-02,No,91,,State
0000000033,000033,Early Intervention,2022-09-01,2022-09-08,2023-01-15,No,38,Early Intervention,Private
0000000034,000034,Child Care,2019-05-08,2019-05-10,2021-11-07,No,90,,Local
0000000034,000034,Child Care,2021-11-27,2021-12-27,2024-02-01,No,124,,Federal
0000000034,000034,Child Care,2019-08-04,2019-08-07,2021-06-02,No,55,,Local
0000000035,000035,Child Care,2022-02-22,2022-03-21,2023-02-11,No,115,,Local
0000000036,000036,Early Head Start,2022-01-30,2022-01-31,2022-11-16,No,142,,Federal
0000000036,000036,First Steps,2023-01-28,2023-02-20,2024-09-05,No,22,Early Intervention,Private
0000000037,000037,Early Head Start,2020-01-13,2020-02-10,2022-04-08,No,165,,Private
0000000037,000037,Child Care,2020-03-11,2020-03-26,2024-02-05,No,184,,Private
0000000038,000038,Early Head Start,2020-11-04,2020-11-16,2023-08-13,No,195,,State
0000000039,000039,First Steps,2019-02-09,2019-03-01,2020-03-08,No,45,Early Intervention,Local
0000000040,000040,First Steps,2021-04-29,2021-05-09,2023-09-30,No,41,Early Intervention,Local
0000000041,000041,Childcare Subsidy,2020-04-14,2020-05-02,2022-12-18,No,175,,Private
