Child DCN,Child MOSIS ID,RefVisitingType.Description,VisitDate
0000000001,000001,Family Support Visit,2020-12-24
0000000001,000001,Case Management,2021-01-10
0000000001,000001,Family Support Visit,2021-06-30
0000000003,000003,Family Support Visit,2023-10-18
0000000003,000003,Case Management,2020-12-25
0000000003,000003,Case Management,2023-03-30
0000000003,000003,Developmental Check,2022-11-14
0000000004,000004,Developmental Check,2024-03-26
0000000004,000004,Case Management,2023-11-19
0000000005,000005,Home Visit,2019-04-27
0000000005,000005,Home Visit,2019-01-16
0000000005,000005,Family Support Visit,2019-02-16
0000000005,000005,Family Support Visit,2019-02-28
0000000005,000005,Developmental Check,2019-05-01
0000000005,000005,Family Support Visit,2019-04-25
0000000007,000007,Case Management,2023-06-10
0000000007,000007,Developmental Check,2021-06-19
0000000007,000007,Developmental Check,2023-06-11
0000000007,000007,Home Visit,2023-08-16
0000000009,000009,Case Management,2020-09-06
0000000009,000009,Case Management,2019-11-06
0000000009,000009,Home Visit,2020-11-07
0000000009,000009,Case Management,2020-10-08
0000000009,000009,Case Management,2020-07-18
0000000009,000009,Case Management,2020-06-27
0000000010,000010,Case Management,2021-06-10
0000000010,000010,Family Support Visit,2021-06-28
0000000010,000010,Developmental Check,2021-02-25
0000000010,000010,Family Support Visit,2020-12-11
0000000012,000012,Family Support Visit,2022-07-14
0000000012,000012,Developmental Check,2021-11-20
0000000013,000013,Family Support Visit,2021-02-06
0000000013,000013,Family Support Visit,2021-06-13
0000000014,000014,Home Visit,2022-11-25
0000000014,000014,Case Management,2023-12-14
0000000014,000014,Developmental Check,2023-03-30
0000000015,000015,Case Management,2019-12-29
0000000016,000016,Home Visit,2022-10-16
0000000016,000016,Family Support Visit,2022-09-17
0000000016,000016,Developmental Check,2022-11-08
0000000016,000016,Developmental Check,2022-08-10
0000000016,000016,Developmental Check,2022-09-08
0000000017,000017,Family Support Visit,2022-07-03
0000000017,000017,Family Support Visit,2023-01-23
0000000017,000017,Home Visit,2023-03-12
0000000017,000017,Developmental Check,2022-09-26
0000000019,000019,Family Support Visit,2022-11-08
0000000019,000019,Family Support Visit,2022-05-05
0000000019,000019,Case Management,2022-08-18
0000000019,000019,Home Visit,2022-12-30
0000000020,000020,Family Support Visit,2022-02-01
