Child DCN,Child MOSIS ID,RefProgramType.Description,EnrollmentDate,ServicePlanDate,ServicePlanEndDate,VisitingIndicator,NumberOfDaysInAttendance,RefStudentGradeLevel.Description,RefFundingSource.Descriptions
0000000001,000001,Childcare Subsidy,2020-03-14,2020-03-19,2021-07-09,No,49,,Private
0000000002,000002,Early Intervention,2020-05-17,2020-06-03,2022-09-13,No,38,Early Intervention,Federal
0000000002,000002,State Pre-K,2022-10-12,2022-10-13,2023-12-16,No,135,Pre-K,Private
0000000003,000003,Childcare Subsidy,2021-10-16,2021-11-05,2023-01-14,No,101,,Local
0000000004,000004,First Steps,2023-01-28,2023-02-09,2024-01-10,No,31,Early Intervention,State
0000000005,000005,First Steps,2019-05-30,2019-06-15,2020-05-28,No,16,Early Intervention,Private
0000000006,000006,First Steps,2021-08-11,2021-09-04,2024-03-22,No,56,Early Intervention,Federal
0000000006,000006,Head Start,2024-06-19,2024-06-26,2025-11-05,No,82,Pre-K,Federal
0000000007,000007,Home Visiting,2022-06-30,2022-07-03,2024-06-02,Yes,14,,Local
0000000007,000007,Head Start,2024-06-09,2024-06-16,2025-06-22,No,116,Pre-K,State
0000000008,000008,Home Visiting,2021-09-02,2021-09-16,2023-09-08,Yes,17,,State
0000000008,000008,Early Intervention,2023-09-24,2023-10-16,2025-08-16,No,18,Early Intervention,Private
0000000009,000009,Child Care,2019-05-22,2019-06-03,2020-04-07,No,55,,Federal
0000000009,000009,Early Intervention,2020-09-17,2020-10-08,2020-12-10,No,8,Early Intervention,State
0000000010,000010,Childcare Subsidy,2020-04-01,2020-04-18,2021-06-20,No,182,,Local
0000000010,000010,Childcare Subsidy,2021-07-24,2021-07-27,2022-10-13,No,170,,State
0000000010,000010,Childcare Subsidy,2023-02-02,2023-02-13,2024-07-16,No,155,,Private
0000000010,000010,First Steps,2020-01-17,2020-02-03,2020-10-09,No,11,Early Intervention,Federal
0000000010,000010,First Steps,2020-12-15,2020-12-20,2022-10-31,No,35,Early Intervention,Federal
0000000011,000011,Child Care,2018-06-29,2018-07-19,2021-05-31,No,119,,Local
0000000011,000011,Childcare Subsidy,2021-06-10,2021-06-13,2022-08-11,No,61,,State
0000000011,000011,Child Care,2022-08-12,2022-08-30,2023-08-18,No,156,,Local
0000000012,000012,Childcare Subsidy,2021-07-07,2021-08-05,2024-03-04,No,114,,State
0000000012,000012,Child Care,2021-09-04,2021-09-19,2025-06-09,No,106,,Local
0000000013,000013,Child Care,2021-02-10,2021-03-09,2022-07-11,No,123,,Local
0000000013,000013,Head Start,2022-10-19,2022-11-14,2024-02-19,No,110,Pre-K,Private
0000000013,000013,Child Care,2024-05-03,2024-05-22,2025-01-01,No,52,,State
0000000014,000014,Child Care,2023-03-27,2023-04-19,2024-05-24,No,63,,Federal
0000000014,000014,Child Care,2024-06-07,2024-07-05,2025-08-18,No,180,,State
0000000014,000014,Child Care,2025-09-17,2025-09-22,2026-10-16,No,83,,State
